FIPS,State,County,Climate Region,MEDHINC16,GROCPTH16,CONVSPTH16,SUPERCPTH16,PCT_OBESE_ADULTS17,RECFACPTH16,largest_group,FFRPTH16,FSRPTH16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
20041,KS,Dickinson,South,50268.0,0.210737053,0.474158369,0.0,32.4,0.0,white_not_hispanic_2017,0.474158369,0.737579685,7.711766960521273,31.38367190494442,36.6193944039862
48409,TX,San Patricio,South,51667.0,0.13380512,0.594689423,0.0297345,33.0,0.0446017,hispanic_2017,0.743361779,0.535220481,18.60702994234703,32.7529291426446,32.75990329179839
51600,VA,Fairfax,Southeast,94701.0,0.755445503,0.755445503,0.0419692,30.1,0.713476308,white_not_hispanic_2017,3.399504764,3.861165904,7.424043920394285,13.40071121093019,18.88452180422983
40139,OK,Texas,South,50993.0,0.189295348,0.567886044,0.0473238,36.5,0.094647674,white_not_hispanic_2017,0.378590696,1.135772088,24.55147890738646,27.4527234524002,21.569419751091
13087,GA,Decatur,Southeast,36136.0,0.224592925,1.048100318,0.0374322,31.6,0.112296463,white_not_hispanic_2017,0.823507393,0.561482313,17.1254512635379,36.5297833935018,32.3048285198556
13295,GA,Walker,Southeast,40814.0,0.087814302,0.643971548,0.0146357,31.6,0.0292714,white_not_hispanic_2017,0.321985774,0.29271434,16.84266644794849,34.18154975496729,29.81197071910435
47095,TN,Lake,Ohio Valley,30078.0,0.26560425,0.26560425,0.0,32.8,0.0,white_not_hispanic_2017,0.398406375,0.26560425,26.46536412078153,43.26820603907638,20.14209591474245
2185, AK,North Slope Borough,,74998.0,0.826019618,0.206504904,0.0,34.2,0.103252452,white_not_hispanic_2017,0.309757357,0.413009809,11.28171973492807,41.03765960885728,32.55212542427671
41059,OR,Umatilla,Northwest,49667.0,0.182650785,0.443580477,0.0521859,29.4,0.0391395,white_not_hispanic_2017,0.495766416,0.834975016,17.0004914004914,28.96707616707616,36.53071253071253
19081,IA,Hancock,Upper Midwest,57222.0,0.183604149,0.459010374,0.0,36.4,0.091802075,white_not_hispanic_2017,0.367208299,0.642614523,7.070047046523785,36.68322007318348,34.17407213800313
13259,GA,Stewart,Southeast,24945.0,0.170212766,1.191489362,0.0,31.6,0.0,white_not_hispanic_2017,0.0,0.170212766,27.34942122817344,35.80537571120267,23.22935059839121
2020, AK,Anchorage Municipality,,83959.0,0.110970623,0.171500054,0.0437157,34.2,0.147960831,white_not_hispanic_2017,0.6994512,0.8305983,6.007434557695808,23.72715693155528,33.68582494995971
5111,AR,Poinsett,South,36125.0,0.208263912,0.749750083,0.0416528,35.0,0.0,white_not_hispanic_2017,0.624791736,0.624791736,19.28350833848054,44.8177887584929,24.37306979617048
27045,MN,Fillmore,Upper Midwest,60575.0,0.191213729,0.573641187,0.0,28.4,0.0,white_not_hispanic_2017,0.62144462,1.434102969,8.946459412780657,31.83419689119171,36.72538860103627
39101,OH,Marion,Ohio Valley,44783.0,0.183671595,0.352037224,0.0306119,33.8,0.076529831,white_not_hispanic_2017,0.734686381,0.413261089,10.12745883014867,44.76423362402891,32.17415766808768
23003,ME,Aroostook,Northeast,39746.0,0.455105996,0.880850314,0.0146808,29.1,0.0587234,white_not_hispanic_2017,0.61659522,0.939573668,10.2021251098506,37.18143325077894,32.84932491811136
40035,OK,Craig,South,42781.0,0.069156293,0.691562932,0.069156293,36.5,0.0,white_not_hispanic_2017,0.414937759,0.899031812,12.34849990065567,39.87681303397576,33.41943175044705
13263,GA,Talbot,Southeast,36482.0,0.15740595,0.78702975,0.0,31.6,0.0,white_not_hispanic_2017,0.15740595,0.0,17.39315330640017,43.58919838401021,26.42993833723156
37089,NC,Henderson,Southeast,53638.0,0.193392992,0.360414213,0.0175812,32.1,0.105487087,white_not_hispanic_2017,0.571388386,0.668084882,8.56167936643342,25.77726030871385,34.13028692634904
56025,WY,Natrona,Northern Rockies and Plains,60559.0,0.086535133,0.383227019,0.0370865,28.8,0.160708105,white_not_hispanic_2017,0.679918904,0.877713495,6.298822752778084,29.45868632412807,40.7232185425606
49011,UT,Davis,Southwest,77095.0,0.073243117,0.199221279,0.0263675,25.3,0.0615242,white_not_hispanic_2017,0.697274477,0.33105889,4.107839280423898,21.16328879693442,36.56307218587754
1117,AL,Shelby,Southeast,74212.0,0.123180132,0.502195923,0.0236885,36.3,0.146868619,white_not_hispanic_2017,0.767506976,0.568523686,6.792023871548334,19.43487763124953,29.56404652516053
55077,WI,Marquette,Upper Midwest,50032.0,0.198189866,0.528506309,0.0,32.0,0.066063289,white_not_hispanic_2017,0.396379732,0.792759464,9.546995913398835,41.5529084427441,34.71872011129467
