FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
26025,MI,Calhoun,Upper Midwest,46423.0,24,68,4,32.3,8,white_not_hispanic_2017,97,78,9.224364592462752,35.7646801051709,33.55390008764242
35013,NM,Doña Ana,Southwest,38287.0,21,60,4,28.4,11,hispanic_2017,122,114,19.43973538874197,21.50267851088357,29.5570473844021
31141,NE,Platte,Northern Rockies & Plains,59288.0,5,21,1,32.8,5,white_not_hispanic_2017,23,19,9.972160102231756,29.64264524667975,37.00424444343024
22001,LA,Acadia,South,40218.0,19,41,1,36.2,10,white_not_hispanic_2017,32,21,19.25383559334281,42.44321876731135,23.10508441918158
30111,MT,Yellowstone,Northern Rockies & Plains,57351.0,18,53,5,25.3,36,white_not_hispanic_2017,111,126,5.169385879505355,29.27741430612301,32.72427818775763
46135,SD,Yankton,Northern Rockies & Plains,54665.0,1,19,1,31.9,3,white_not_hispanic_2017,19,17,9.556786703601109,32.20851170989675,31.54746915134727
27131,MN,Rice,Upper Midwest,67726.0,9,21,1,28.4,5,white_not_hispanic_2017,33,37,8.510487695538306,31.64004435740745,31.34983365972206
12019,FL,Clay,Southeast,57476.0,21,76,4,28.4,19,white_not_hispanic_2017,114,105,7.923246295370732,29.68633913736508,36.23782571694876
54103,WV,Wetzel,Ohio Valley,42679.0,7,10,1,38.1,2,white_not_hispanic_2017,13,11,13.4020618556701,47.87484174353409,26.12588171459577
6067,CA,Sacramento,West,59728.0,275,384,22,25.1,148,white_not_hispanic_2017,1075,981,12.06086658089948,22.11920999603119,34.37132717369006
1095,AL,Marshall,Southeast,42117.0,22,74,3,36.3,4,white_not_hispanic_2017,80,62,16.67547650881502,31.07490438730139,31.5755107117316
48021,TX,Bastrop,South,56449.0,11,46,2,33.0,5,white_not_hispanic_2017,38,43,16.85125473152951,30.61299593438946,31.00028038693397
26021,MI,Berrien,Upper Midwest,47237.0,33,68,4,32.3,11,white_not_hispanic_2017,108,146,9.528844370246707,28.50213318493786,34.41662029308106
55101,WI,Racine,Upper Midwest,56246.0,38,83,2,32.0,10,white_not_hispanic_2017,116,127,8.92020879940343,31.48098434004474,33.82028337061895
51191,VA,Washington,Southeast,44785.0,13,36,2,30.1,2,white_not_hispanic_2017,31,36,13.793964204588,32.82494196350566,29.17051496467886
29065,MO,Dent,Ohio Valley,38722.0,4,6,1,32.5,1,white_not_hispanic_2017,7,9,16.07580016320609,39.15132831625714,29.85764801885937
23001,ME,Androscoggin,Northeast,48494.0,24,64,2,29.1,11,white_not_hispanic_2017,77,72,8.736793142401488,35.55717987906174,32.98425144527876
16027,ID,Canyon,Northwest,48461.0,25,56,5,29.3,10,white_not_hispanic_2017,109,84,13.73163127920456,31.04592810189285,35.0649070134134
27111,MN,Otter Tail,Upper Midwest,51252.0,13,39,1,28.4,6,white_not_hispanic_2017,31,49,7.884823035392921,27.24655068986203,38.97060587882423
8069,CO,Larimer,Southwest,66561.0,36,86,9,22.6,55,white_not_hispanic_2017,271,298,3.814322008353787,18.61861085992335,29.87469319209404
45083,SC,Spartanburg,Southeast,47706.0,45,176,6,34.1,33,white_not_hispanic_2017,221,210,12.87509231775182,30.65890178332024,31.63782275932468
24045,MD,Wicomico,Northeast,50015.0,10,52,3,31.3,7,white_not_hispanic_2017,86,61,12.33744325849589,33.05422647527911,26.60869831922463
12113,FL,Santa Rosa,Southeast,62668.0,14,55,3,28.4,18,white_not_hispanic_2017,88,68,8.504375560333543,27.15624280987933,37.07761760062202
39017,OH,Butler,Ohio Valley,63094.0,46,139,7,33.8,39,white_not_hispanic_2017,275,226,8.425269695845849,32.84889289193011,27.46720245833826
17097,IL,Lake,Ohio Valley,83344.0,117,200,13,31.1,119,white_not_hispanic_2017,567,504,9.204775575421088,20.0980488325911,24.64278007023418
48375,TX,Potter,South,41563.0,16,61,4,33.0,8,white_not_hispanic_2017,122,110,22.80570941627609,32.49893481039625,29.31534938219003
