FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
27171,MN,Wright,Upper Midwest,76256.0,12,42,4,28.4,13,White & Not Hispanic,70,76,6.044055658795268,28.60445089063137,34.30177219779721,With some college or associate's degree
4023,AZ,Santa Cruz,Southwest,39090.0,10,16,1,29.5,2,Hispanic,24,39,22.14095520577033,27.49671374161583,29.43476355792241,With some college or associate's degree
48049,TX,Brown,South,43770.0,7,26,1,33.0,3,White & Not Hispanic,33,30,12.97386120452461,35.14215836135738,31.77927239376337,With a high school diploma only
39175,OH,Wyandot,Ohio Valley,55590.0,7,9,1,33.8,1,White & Not Hispanic,15,13,7.252704287762284,45.1453147399974,28.3070506972501,With a high school diploma only
17007,IL,Boone,Ohio Valley,62081.0,6,21,1,31.1,3,White & Not Hispanic,27,16,13.31510127339543,32.27929236817366,30.22248810642965,With a high school diploma only
12101,FL,Pasco,Southeast,46326.0,63,193,12,28.4,35,White & Not Hispanic,204,259,10.10244126191326,34.00693134906478,31.2575811630396,With a high school diploma only
20111,KS,Lyon,South,43600.0,10,14,1,32.4,2,White & Not Hispanic,22,29,11.97851297755911,31.33691450374015,29.83081479993975,With a high school diploma only
26015,MI,Barry,Upper Midwest,60818.0,11,27,1,32.3,1,White & Not Hispanic,23,31,6.642548722137939,37.30657019488855,33.04236200256739,With a high school diploma only
39145,OH,Scioto,Ohio Valley,39245.0,13,45,1,33.8,1,White & Not Hispanic,59,44,14.34726492806438,42.43632084424705,27.61644459628744,With a high school diploma only
37109,NC,Lincoln,Southeast,50714.0,15,40,2,32.1,7,White & Not Hispanic,60,38,11.2091197292991,30.73145091082311,35.00386011596774,With some college or associate's degree
54067,WV,Nicholas,Ohio Valley,37359.0,6,19,1,38.1,1,White & Not Hispanic,14,25,11.72428956191942,48.37025229483867,22.15687352278349,With a high school diploma only
40113,OK,Osage,South,46074.0,3,21,1,36.5,3,White & Not Hispanic,20,12,10.52678892484718,36.61153062447561,33.53410044348556,With a high school diploma only
45073,SC,Oconee,Southeast,46996.0,17,41,1,34.1,6,White & Not Hispanic,50,47,14.25588292066612,28.74164283082106,29.63833856844543,With some college or associate's degree
29077,MO,Greene,Ohio Valley,42802.0,41,114,9,32.5,34,White & Not Hispanic,260,256,7.361074050238845,28.10121019008303,33.04870583434052,With some college or associate's degree
47189,TN,Wilson,Ohio Valley,70955.0,18,59,2,32.8,10,White & Not Hispanic,91,84,7.97015975498717,28.12681069447893,29.14700769803824,With some college or associate's degree
40073,OK,Kingfisher,South,60814.0,3,12,1,36.5,1,White & Not Hispanic,9,15,10.82933516106923,40.45823949867815,25.55566434935866,With a high school diploma only
20009,KS,Barton,South,47194.0,4,12,1,32.4,4,White & Not Hispanic,17,25,11.28435221536736,30.75715086932137,36.64610207515423,With some college or associate's degree
30017,MT,Custer,Northern Rockies & Plains,48935.0,2,5,1,25.3,1,White & Not Hispanic,9,13,6.317448769249425,28.85897902267491,37.09227597914393,With some college or associate's degree
17095,IL,Knox,Ohio Valley,43277.0,9,20,1,31.1,3,White & Not Hispanic,38,41,11.34298409058334,35.26730686541493,34.19234628063638,With a high school diploma only
19157,IA,Poweshiek,Upper Midwest,52408.0,6,11,1,36.4,2,White & Not Hispanic,11,20,6.246872393661384,38.51542952460384,27.18098415346122,With a high school diploma only
25011,MA,Franklin,Northeast,56544.0,18,31,1,25.9,8,White & Not Hispanic,33,68,6.557131629177738,27.99693102286762,27.16606160410195,With a high school diploma only
20175,KS,Seward,South,48648.0,5,6,1,32.4,1,Hispanic,10,17,30.11257035647279,30.62070043777361,28.05659787367104,With a high school diploma only
1083,AL,Limestone,Southeast,52181.0,10,59,1,36.3,7,White & Not Hispanic,52,44,14.72916114985141,29.33621678877218,31.0192132285874,With some college or associate's degree
37183,NC,Wake,Southeast,76173.0,194,352,23,32.1,161,White & Not Hispanic,914,817,6.554517781207156,14.74547798142941,24.7077927847269,With some college or associate's degree
42049,PA,Erie,Northeast,48820.0,36,97,6,31.6,30,White & Not Hispanic,190,191,8.514498553879978,37.76027492289138,25.01307377880234,With a high school diploma only
17011,IL,Bureau,Ohio Valley,53410.0,5,22,1,31.1,3,White & Not Hispanic,12,27,9.347352224644185,36.01316408086507,33.94879685429756,With a high school diploma only
13295,GA,Walker,Southeast,40814.0,6,44,1,31.6,2,White & Not Hispanic,22,20,16.84266644794849,34.18154975496729,29.81197071910435,With a high school diploma only
51177,VA,Spotsylvania,Southeast,81065.0,20,42,4,30.1,11,White & Not Hispanic,88,76,8.662860443417603,28.37561647487448,30.88594659439286,With some college or associate's degree
1045,AL,Dale,Southeast,40523.0,6,29,1,36.3,2,White & Not Hispanic,35,27,14.68587793091104,30.89911103156136,36.19712427659448,With some college or associate's degree
51620,VA,Franklin,Southeast,40247.0,2,12,1,30.1,1,White & Not Hispanic,13,11,16.28967210240225,31.63247413641943,33.1229177625811,With some college or associate's degree
6075,CA,San Francisco,West,101873.0,358,112,1,25.1,142,White & Not Hispanic,958,1917,11.44772637548003,11.58324659943294,18.20421347306464,With some college or associate's degree
