FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
37047,NC,Columbus,Southeast,35290,16,36,1,32.1,1,White & Not Hispanic,46,29,16.01800977,37.63227513,33.45797721,HS Diploma
12009,FL,Brevard,Southeast,51214,80,299,12,28.4,55,White & Not Hispanic,375,507,7.815050724,26.70488542,34.56735209,College Degree
19049,IA,Dallas,Upper Midwest,82123,13,35,2,36.4,11,White & Not Hispanic,48,57,4.458039004,18.35603474,26.72119512,College Degree
18169,IN,Wabash,Ohio Valley,51561,7,16,1,33.6,3,White & Not Hispanic,27,18,10.28616704,42.93903803,27.8663311,HS Diploma
40027,OK,Cleveland,South,61275,52,83,7,36.5,28,White & Not Hispanic,223,172,7.767323445,24.39118884,33.57538189,College Degree
55025,WI,Dane,Upper Midwest,70815,80,169,5,32,114,White & Not Hispanic,437,469,3.813333556,17.27046773,26.49276527,College Degree
1043,AL,Cullman,Southeast,41543,15,53,2,36.3,4,White & Not Hispanic,63,43,17.73638179,32.27566972,34.5723435,College Degree
20161,KS,Riley,South,49901,8,23,1,32.4,3,White & Not Hispanic,49,44,3.817220022,16.4198942,32.54738297,College Degree
29215,MO,Texas,Ohio Valley,33879,5,10,1,32.5,1,White & Not Hispanic,10,22,15.63154992,39.21125207,30.38610039,HS Diploma
13223,GA,Paulding,Southeast,65480,12,51,4,31.6,12,White & Not Hispanic,64,64,9.525360027,30.59018346,35.98965504,College Degree
36077,NY,Otsego,Northeast,50034,18,47,2,25.7,5,White & Not Hispanic,35,81,7.354410149,30.68874238,28.58605534,HS Diploma
51013,VA,Arlington,Southeast,108635,46,64,1,30.1,49,White & Not Hispanic,227,268,5.054989117,7.897811891,11.21147898,College Degree
48005,TX,Angelina,South,43658,11,31,2,33,7,White & Not Hispanic,71,37,16.99080777,30.75822853,34.06708413,College Degree
21013,KY,Bell,Ohio Valley,26014,6,10,1,34.3,3,White & Not Hispanic,24,10,26.04857693,42.06077466,22.3999572,HS Diploma
17001,IL,Adams,Ohio Valley,51130,11,28,2,31.1,9,White & Not Hispanic,34,54,7.80820723,34.39884872,32.58471065,HS Diploma
55113,WI,Sawyer,Upper Midwest,44180,5,11,1,32,1,White & Not Hispanic,8,47,7.854375202,32.95124314,34.33161124,College Degree
28049,MS,Hinds,South,42903,27,153,4,37.3,21,Black,234,106,11.84660319,23.78554308,34.15541381,College Degree
55027,WI,Dodge,Upper Midwest,56949,12,39,1,32,6,White & Not Hispanic,36,50,8.795002982,40.19272419,33.01735773,HS Diploma
6071,CA,San Bernardino,West,56194,309,481,18,25.1,125,Hispanic,1526,1101,19.29688265,26.40464876,32.94045508,College Degree
47115,TN,Marion,Ohio Valley,42348,4,27,1,32.8,2,White & Not Hispanic,21,18,19.0459916,40.20603457,28.26872376,HS Diploma
29099,MO,Jefferson,Ohio Valley,61508,23,86,4,32.5,16,White & Not Hispanic,131,101,9.818391837,32.24924597,36.83180389,College Degree
26043,MI,Dickinson,Upper Midwest,46094,6,13,1,32.3,4,White & Not Hispanic,20,21,5.268517526,33.21899453,37.09936756,College Degree
55055,WI,Jefferson,Upper Midwest,60744,13,36,2,32,10,White & Not Hispanic,47,66,7.959719049,32.51925193,32.83574511,College Degree
6115,CA,Yuba,West,46054,10,23,1,25.1,4,White & Not Hispanic,29,27,17.82518083,23.80572923,40.35797475,College Degree
47117,TN,Marshall,Ohio Valley,50014,4,22,1,32.8,3,White & Not Hispanic,22,10,12.72368365,40.00343303,31.03892203,HS Diploma
30049,MT,Lewis and Clark,Northern Rockies & Plains,60370,13,23,2,25.3,15,White & Not Hispanic,41,55,4.356005789,23.30783544,29.84701261,College Degree
28127,MS,Simpson,South,39568,3,24,1,37.3,2,White & Not Hispanic,21,9,21.6711325,28.30425986,32.58599005,College Degree
21113,KY,Jessamine,Ohio Valley,55047,5,22,2,34.3,5,White & Not Hispanic,35,30,11.79827659,30.88289306,28.11696567,HS Diploma
48013,TX,Atascosa,South,53622,6,35,1,33,2,Hispanic,20,26,21.03706011,39.67299907,23.97695422,HS Diploma
28045,MS,Hancock,South,45369,3,30,1,37.3,5,White & Not Hispanic,29,40,9.585462146,28.1641895,36.26045053,College Degree
22049,LA,Jackson,South,41192,1,13,1,36.2,1,White & Not Hispanic,9,4,17.1271209,42.72896864,26.65008439,HS Diploma
28033,MS,DeSoto,South,64138,20,75,5,37.3,17,White & Not Hispanic,140,116,8.989327472,30.07613683,36.08601539,College Degree
18063,IN,Hendricks,Ohio Valley,78464,12,44,9,33.6,19,White & Not Hispanic,127,116,5.716800963,26.89250007,28.51483548,College Degree
56033,WY,Sheridan,Northern Rockies & Plains,53027,8,13,1,28.8,7,White & Not Hispanic,23,32,4.524970964,27.7630662,37.06387921,College Degree
5115,AR,Pope,South,42916,8,26,1,35,6,White & Not Hispanic,53,37,15.14663544,33.84326355,26.421217,HS Diploma
37151,NC,Randolph,Southeast,45939,22,66,2,32.1,13,White & Not Hispanic,74,85,17.04361955,34.39715956,32.44034783,HS Diploma
48053,TX,Burnet,South,55919,2,36,1,33,6,White & Not Hispanic,32,46,11.59304121,30.39722123,31.25816411,College Degree
21173,KY,Montgomery,Ohio Valley,44890,4,25,1,34.3,2,White & Not Hispanic,19,16,15.23764657,40.9861809,28.13546901,HS Diploma
41009,OR,Columbia,Northwest,63055,8,21,2,29.4,5,White & Not Hispanic,27,31,9.240405117,33.12633262,39.60287846,College Degree
22121,LA,West Baton Rouge,South,54454,6,22,1,36.2,3,White & Not Hispanic,21,13,13.16169127,36.40550438,27.75496615,HS Diploma
30031,MT,Gallatin,Northern Rockies & Plains,60439,18,37,2,25.3,21,White & Not Hispanic,97,141,2.991213834,17.77939448,27.66103307,College Degree
18085,IN,Kosciusko,Ohio Valley,56010,12,28,2,33.6,9,White & Not Hispanic,60,69,13.23787756,34.13173653,28.29671887,HS Diploma
8087,CO,Morgan,Southwest,49129,7,13,1,22.6,3,White & Not Hispanic,12,21,20.63911193,31.04488872,31.05566633,College Degree
42097,PA,Northumberland,Northeast,46783,21,39,1,31.6,5,White & Not Hispanic,61,64,10.86399401,49.37579618,21.89733983,HS Diploma
24003,MD,Anne Arundel,Northeast,95297,94,200,10,31.3,72,White & Not Hispanic,492,389,6.793321674,22.70681043,27.49889911,College Degree
32007,NV,Elko,West,70242,11,21,1,26.7,3,White & Not Hispanic,40,29,13.19958696,33.04027143,36.91104883,College Degree
12017,FL,Citrus,Southeast,40009,18,68,3,28.4,7,White & Not Hispanic,58,93,10.53904367,37.99856255,32.56669344,HS Diploma
45007,SC,Anderson,Southeast,45821,33,138,4,34.1,18,White & Not Hispanic,134,161,14.35571793,30.17933774,31.35438413,College Degree
31131,NE,Otoe,Northern Rockies & Plains,55030,4,10,1,32.8,2,White & Not Hispanic,8,11,7.655546365,34.06855988,32.87381674,HS Diploma
8005,CO,Arapahoe,Southwest,70866,95,158,15,22.6,87,White & Not Hispanic,506,471,7.741655206,20.40318823,28.45187154,College Degree
42089,PA,Monroe,Northeast,59574,17,55,3,31.6,10,White & Not Hispanic,112,147,10.43372737,34.71855667,29.03198432,HS Diploma
6023,CA,Humboldt,West,43164,48,38,2,25.1,17,White & Not Hispanic,97,142,9.391108247,22.98969072,36.72358247,College Degree
20091,KS,Johnson,South,80872,83,111,15,32.4,102,White & Not Hispanic,413,446,3.87786252,13.95546423,26.04893205,College Degree
37153,NC,Richmond,Southeast,35367,11,44,1,32.1,2,White & Not Hispanic,26,22,17.10762992,30.41501782,34.67639075,College Degree
30013,MT,Cascade,Northern Rockies & Plains,45569,10,29,2,25.3,12,White & Not Hispanic,69,66,7.577361198,31.45214817,33.64965468,College Degree
27059,MN,Isanti,Upper Midwest,68303,6,13,1,28.4,4,White & Not Hispanic,17,20,7.669723441,35.64101635,38.57334445,College Degree
12033,FL,Escambia,Southeast,45004,46,174,6,28.4,22,White & Not Hispanic,188,203,9.637412597,26.84397726,36.31568629,College Degree
37069,NC,Franklin,Southeast,49484,8,36,1,32.1,4,White & Not Hispanic,28,20,13.45477519,29.77150679,35.61756344,College Degree
1071,AL,Jackson,Southeast,41407,11,42,1,36.3,1,White & Not Hispanic,32,26,16.53819201,39.08414641,28.15751172,HS Diploma
36083,NY,Rensselaer,Northeast,63174,38,70,1,25.7,5,White & Not Hispanic,109,110,7.526785714,27.45267857,31.11964286,College Degree
5027,AR,Columbia,South,35322,3,18,1,35,2,White & Not Hispanic,21,7,13.19411161,41.70489558,24.61485793,HS Diploma
51145,VA,Powhatan,Southeast,78047,3,15,1,30.1,3,White & Not Hispanic,11,16,10.39644754,30.16846731,28.85460538,HS Diploma
12001,FL,Alachua,Southeast,45294,43,122,2,28.4,37,White & Not Hispanic,197,211,7.211608664,20.23850085,28.46617182,College Degree
20011,KS,Bourbon,South,44424,3,6,1,32.4,1,White & Not Hispanic,11,10,9.369817579,32.29684909,37.36525705,College Degree
47071,TN,Hardin,Ohio Valley,37039,7,20,1,32.8,3,White & Not Hispanic,12,25,17.20071086,41.95163983,24.34703,HS Diploma
35005,NM,Chaves,Southwest,40573,6,30,2,28.4,5,Hispanic,44,41,20.63403916,26.59053046,35.09911389,College Degree
51141,VA,Patrick,Southeast,38539,2,15,1,30.1,1,White & Not Hispanic,7,10,17.66358595,36.61367837,30.81700555,HS Diploma
48167,TX,Galveston,South,64155,52,175,7,33,27,White & Not Hispanic,244,238,10.41570307,24.59418624,32.87256677,College Degree
42133,PA,York,Northeast,62305,64,132,8,31.6,48,White & Not Hispanic,306,236,9.676036832,39.17558746,25.94999664,HS Diploma
37071,NC,Gaston,Southeast,48874,32,106,6,32.1,17,White & Not Hispanic,168,126,14.43126363,30.40052954,33.11636902,College Degree
12103,FL,Pinellas,Southeast,49974,199,444,13,28.4,120,White & Not Hispanic,655,906,8.378900782,27.22289614,31.90823413,College Degree
